index,symbol
1004,002365.SZ
1005,688566.SH
1006,300759.SZ
1007,688578.SH
1008,002437.SZ
1009,002435.SZ
1010,605177.SH
1011,300434.SZ
1012,300505.SZ
1013,688350.SH
1014,002455.SZ
1015,002827.SZ
1016,603580.SH
1017,603067.SH
1018,002825.SZ
1019,600135.SH
1020,600141.SH
1021,688116.SH
1022,300132.SZ
1023,002096.SZ
1024,300109.SZ
1025,605183.SH
1026,300847.SZ
1027,688550.SH
1028,300655.SZ
1029,603078.SH
1030,300107.SZ
1031,603879.SH
1032,300848.SZ
1033,600160.SH
1034,002109.SZ
1035,600165.SH
1036,688669.SH
1037,603077.SH
1038,600596.SH
1039,300121.SZ
1040,300405.SZ
1041,002125.SZ
1042,300856.SZ
1043,300481.SZ
1044,600091.SH
1045,002753.SZ
1046,600078.SH
1047,002748.SZ
1048,300769.SZ
1049,000691.SZ
1050,002165.SZ
1051,300174.SZ
1052,002476.SZ
1053,000698.SZ
1054,600075.SH
1055,603379.SH
1056,603916.SH
1057,002312.SZ
1058,002741.SZ
1059,688093.SH
1060,688359.SH
1061,601568.SH
1062,000545.SZ
1063,002810.SZ
1064,002809.SZ
1065,002136.SZ
1066,600618.SH
1067,300684.SZ
1068,002802.SZ
1069,002326.SZ
1070,688106.SH
1071,688357.SH
1072,002145.SZ
1073,000683.SZ
1074,002783.SZ
1075,600636.SH
1076,603906.SH
1077,300487.SZ
1078,300699.SZ
1079,300135.SZ
1080,000635.SZ
1081,002909.SZ
1082,688133.SH
1083,002386.SZ
1084,002002.SZ
1085,605166.SH
1086,603026.SH
1087,300041.SZ
1088,000985.SZ
1089,600328.SH
1090,003022.SZ
1091,300568.SZ
1092,002360.SZ
1093,003017.SZ
1094,603722.SH
1095,688683.SH
1096,600367.SH
1097,002361.SZ
1098,603002.SH
1099,600319.SH
1100,688268.SH
1101,688233.SH
1102,300387.SZ
1103,603010.SH
1104,000990.SZ
1105,300019.SZ
1106,600277.SH
1107,300586.SZ
1108,600273.SH
1109,300596.SZ
1110,688199.SH
1111,300037.SZ
1112,000818.SZ
1113,300796.SZ
1114,300801.SZ
1115,600309.SH
1116,600370.SH
1117,603585.SH
1118,003002.SZ
1119,600378.SH
1120,300535.SZ
1121,603867.SH
1122,002068.SZ
1123,300637.SZ
1124,002917.SZ
1125,300530.SZ
1126,603650.SH
1127,002915.SZ
1128,601216.SH
1129,002341.SZ
1130,300641.SZ
1131,002895.SZ
1132,002092.SZ
1133,002442.SZ
1134,601678.SH
1135,688585.SH
1136,002054.SZ
1137,300082.SZ
1138,000822.SZ
1139,300610.SZ
1140,002986.SZ
1141,300821.SZ
1142,600409.SH
1143,002037.SZ
1144,002407.SZ
1145,002971.SZ
1146,002408.SZ
1147,002409.SZ
1148,605155.SH
1149,603683.SH
1150,603681.SH
1151,603041.SH
1152,603659.SH
1153,300054.SZ
1154,688386.SH
1155,002805.SZ
1156,603227.SH
1157,603260.SH
1158,605399.SH
1159,603977.SH
1160,603360.SH
1161,600844.SH
1162,603192.SH
1163,300886.SZ
1164,603181.SH
1165,300214.SZ
1166,600989.SH
1167,300927.SZ
1168,600722.SH
1169,300243.SZ
1170,300993.SZ
1171,300429.SZ
1172,605366.SH
1173,601208.SH
1174,603968.SH
1175,300446.SZ
1176,002632.SZ
1177,002601.SZ
1178,002246.SZ
1179,002683.SZ
1180,603928.SH
1181,002497.SZ
1182,000707.SZ
1183,002226.SZ
1184,002709.SZ
1185,603938.SH
1186,603217.SH
1187,603299.SH
1188,603155.SH
1189,688639.SH
1190,600800.SH
1191,002591.SZ
1192,300910.SZ
1193,600746.SH
1194,000510.SZ
1195,300721.SZ
1196,300727.SZ
1197,300437.SZ
1198,300919.SZ
1199,002666.SZ
1200,002648.SZ
1201,002584.SZ
1202,002669.SZ
1203,300891.SZ
1204,603931.SH
1205,300200.SZ
1206,002250.SZ
1207,002643.SZ
1208,603948.SH
1209,600714.SH
1210,002337.SZ
1211,600579.SH
1212,002353.SZ
1213,002278.SZ
1214,300228.SZ
1215,000852.SZ
1216,002698.SZ
1217,002430.SZ
1218,601798.SH
1219,002490.SZ
1220,002064.SZ
1221,002172.SZ
1222,601113.SH
1223,002080.SZ
1224,300819.SZ
1225,000782.SZ
1226,000677.SZ
1227,000936.SZ
1228,000703.SZ
1229,002254.SZ
1230,002206.SZ
1231,603332.SH
1232,000301.SZ
1233,600889.SH
1234,002427.SZ
1235,002998.SZ
1236,600527.SH
1237,002493.SZ
1238,000420.SZ
1239,000615.SZ
1240,300777.SZ
1241,688065.SH
1242,600810.SH
1243,600063.SH
1244,300876.SZ
1245,000949.SZ
1246,601233.SH
1247,300180.SZ
1248,600346.SH
1249,603225.SH
1250,000732.SZ
1251,000965.SZ
1252,000011.SZ
1253,600239.SH
1254,600773.SH
1255,002077.SZ
1256,002244.SZ
1257,600533.SH
1258,000897.SZ
1259,000720.SZ
1260,600223.SH
1261,000631.SZ
1262,600225.SH
1263,600807.SH
1264,600185.SH
1265,000609.SZ
1266,000863.SZ
1267,600376.SH
1268,000809.SZ
1269,000718.SZ
1270,000656.SZ
1271,600568.SH
1272,600503.SH
1273,000608.SZ
1274,600622.SH
1275,600246.SH
1276,600890.SH
1277,601588.SH
1278,600113.SH
1279,002147.SZ
1280,600340.SH
1281,601155.SH
1282,000926.SZ
1283,600716.SH
1284,600638.SH
1285,000838.SZ
1286,600641.SH
1287,600094.SH
1288,600159.SH
1289,600649.SH
1290,600325.SH
1291,600322.SH
1292,000517.SZ
1293,000006.SZ
1294,000514.SZ
1295,600266.SH
1296,000668.SZ
1297,600743.SH
1298,002314.SZ
1299,002208.SZ
1300,600466.SH
1301,000537.SZ
1302,600683.SH
1303,000573.SZ
1304,002305.SZ
1305,600696.SH
1306,600675.SH
1307,002016.SZ
1308,000029.SZ
1309,000671.SZ
1310,688139.SH
1311,300453.SZ
1312,300298.SZ
1313,688314.SH
1314,603987.SH
1315,300595.SZ
1316,605369.SH
1317,300633.SZ
1318,002932.SZ
1319,688580.SH
1320,688315.SH
1321,688202.SH
1322,300015.SZ
1323,600896.SH
1324,002551.SZ
1325,300358.SZ
1326,300396.SZ
1327,002614.SZ
1328,002950.SZ
1329,300030.SZ
1330,300003.SZ
1331,002524.SZ
1332,300813.SZ
1333,300562.SZ
1334,600381.SH
1335,688298.SH
1336,002022.SZ
1337,688289.SH
1338,300888.SZ
1339,688468.SH
1340,300049.SZ
1341,300896.SZ
1342,603658.SH
1343,603976.SH
1344,300753.SZ
1345,688013.SH
1346,688277.SH
1347,688575.SH
1348,002044.SZ
1349,688198.SH
1350,300273.SZ
1351,300439.SZ
1352,002382.SZ
1353,000150.SZ
1354,000503.SZ
1355,688310.SH
1356,688399.SH
1357,300791.SZ
1358,002162.SZ
1359,300676.SZ
1360,688626.SH
1361,603880.SH
1362,600767.SH
1363,688338.SH
1364,300981.SZ
1365,300869.SZ
1366,300404.SZ
1367,002173.SZ
1368,600763.SH
1369,688050.SH
1370,688617.SH
1371,603127.SH
1372,300206.SZ
1373,688358.SH
1374,300171.SZ
1375,300318.SZ
1376,688389.SH
1377,603882.SH
1378,300146.SZ
1379,688108.SH
1380,688029.SH
1381,300143.SZ
1382,688613.SH
1383,300832.SZ
1384,603387.SH
1385,300412.SZ
1386,300463.SZ
1387,300406.SZ
1388,300677.SZ
1389,600587.SH
1390,603579.SH
1391,600055.SH
1392,300238.SZ
1393,002432.SZ
1394,300326.SZ
1395,603392.SH
1396,300247.SZ
1397,300314.SZ
1398,300246.SZ
1399,603301.SH
1400,300482.SZ
1401,300760.SZ
1402,300529.SZ
1403,300244.SZ
1404,688016.SH
1405,688677.SH
1406,300639.SZ
1407,688068.SH
1408,002901.SZ
1409,300653.SZ
1410,000516.SZ
1411,603309.SH
1412,300347.SZ
1413,000509.SZ
1414,600532.SH
1415,600530.SH
1416,600529.SH
1417,000710.SZ
1418,688085.SH
1419,688393.SH
1420,688607.SH
1421,300642.SZ
1422,002223.SZ
1423,600713.SH
1424,000411.SZ
1425,605266.SH
1426,300937.SZ
1427,002788.SZ
1428,600090.SH
1429,002758.SZ
1430,002462.SZ
1431,000078.SZ
1432,603716.SH
1433,600998.SH
1434,000705.SZ
1435,600511.SH
1436,600056.SH
1437,603108.SH
1438,002727.SZ
1439,600538.SH
1440,603368.SH
1441,600833.SH
1442,600272.SH
1443,601607.SH
1444,603939.SH
1445,603233.SH
1446,002589.SZ
1447,000950.SZ
1448,603883.SH
1449,000028.SZ
1450,600829.SH
1451,300327.SZ
1452,688368.SH
1453,688508.SH
1454,688981.SH
1455,688536.SH
1456,300389.SZ
1457,300296.SZ
1458,300708.SZ
1459,688589.SH
1460,300269.SZ
1461,600206.SH
1462,300632.SZ
1463,300317.SZ
1464,688595.SH
1465,300842.SZ
1466,300077.SZ
1467,300241.SZ
1468,300236.SZ
1469,300102.SZ
1470,600171.SH
1471,300625.SZ
1472,300623.SZ
1473,300613.SZ
1474,688396.SH
1475,300373.SZ
1476,300232.SZ
1477,300123.SZ
1478,300223.SZ
1479,300671.SZ
1480,688521.SH
1481,300672.SZ
1482,300303.SZ
1483,300323.SZ
1484,300301.SZ
1485,688699.SH
1486,300046.SZ
1487,688662.SH
1488,688608.SH
1489,300053.SZ
1490,300582.SZ
1491,603986.SH
1492,002129.SZ
1493,002156.SZ
1494,002185.SZ
1495,688037.SH
1496,603290.SH
1497,688123.SH
1498,605111.SH
1499,603068.SH
1500,603501.SH
1501,002371.SZ
1502,688019.SH
1503,688018.SH
1504,600460.SH
1505,002449.SZ
1506,600584.SH
1507,688135.SH
1508,688008.SH
1509,688126.SH
1510,603005.SH
1511,600360.SH
1512,605358.SH
1513,603893.SH
1514,688181.SH
1515,688099.SH
1516,002079.SZ
1517,003026.SZ
1518,688079.SH
1519,002724.SZ
1520,600703.SH
1521,002119.SZ
1522,600667.SH
1523,600790.SH
1524,002344.SZ
1525,600415.SH
1526,600301.SH
1527,600287.SH
1528,000151.SZ
1529,000626.SZ
1530,600755.SH
1531,600826.SH
1532,600753.SH
1533,600153.SH
1534,600500.SH
1535,600822.SH
1536,600278.SH
1537,002072.SZ
1538,601028.SH
1539,600128.SH
1540,600735.SH
1541,600058.SH
1542,600382.SH
1543,600241.SH
1544,600704.SH
1545,002091.SZ
1546,600981.SH
1547,600250.SH
1548,600739.SH
1549,600573.SH
1550,000752.SZ
1551,600600.SH
1552,600132.SH
1553,000929.SZ
1554,000729.SZ
1555,002461.SZ
1556,600639.SH
1557,600064.SH
1558,600604.SH
1559,600848.SH
1560,600663.SH
1561,600648.SH
1562,600133.SH
